category,question,keywords,answer
TPO Policy,What is the main goal of the TPO at VJTI?,"TPO, VJTI, main goal, internship, placement opportunities",The main goal of the TPO at VJTI is to provide the best internship and placement opportunities to all students.
TPO Policy,What is the aim of the TPO at the end of the year?,"TPO, end of year, aim, student placement",The aim is to have the maximum number of students placed in companies of their liking.
TPO Policy,Is the TPO an impartial body? Explain.,"TPO, impartial, facilitator, students, companies","Yes, the TPO is an impartial body. It acts as a facilitator working for the benefit of the students and the visiting companies."
TPO Policy,What should students ensure while applying to companies?,"students, apply, companies, updated information, Superset","Students must provide the latest, updated information while applying to companies and ensure their data in the Superset software is regularly updated."
TPO Policy,What software should students use to update their information?,"students, update, information, Superset",Students should use the Superset software to update their information.
TPO Policy,What happens if students fail to inform the TPO about pursuing further studies?,"students, inform, TPO, further studies, LoR, graduation certificate",Failure to inform the TPO followed by subsequent withdrawal from the placement process will lead to the withholding of the Letter of Recommendation (LoR) and/or the final graduation certificate.
TPO Policy,What are the eligibility criteria for students pursuing higher education to apply for companies?,"students, higher education, eligibility, apply, companies, LPA","Students pursuing higher education are eligible to apply to companies offering: ≤ 12 LPA for CE, IT, and Circuital branches. ≤ 10 LPA for all other branches."
TPO Policy,"What is the maximum CTC allowed for CE, IT, and Circuital branches for students pursuing higher education?","CTC, CE, IT, Circuital branches, higher education, 12 LPA",The maximum CTC allowed is 12 LPA.
TPO Policy,What is the maximum CTC allowed for other branches for students pursuing higher education?,"CTC, other branches, higher education, 10 LPA",The maximum CTC allowed is 10 LPA.
TPO Policy,What happens if a student is found using unfair means during the placement process?,"student, unfair means, placement process, debarred",Any student found using unfair means will be debarred from the placement process.
TPO Policy,Does the TPO guarantee equal opportunities for all students? Explain.,"TPO, equal opportunities, criteria, shortlisting, package, final selection","The TPO tries its best to give all students equal opportunities, but the criteria, shortlisting, package, and final selection are decided by the companies, not the TPO."
TPO Policy,"Who decides the criteria, shortlisting, package, and final selection during placements?","criteria, shortlisting, package, final selection, companies","The companies decide the criteria, shortlisting, package, and final selection during placements."
TPO Policy,What is the dress code for students appearing for campus drives?,"dress code, students, campus drives, formals",Students must come in formals for any campus drive process.
TPO Policy,"What should students carry during PPT, GD, or PI?","students, PPT, GD, PI, Identity Card, visiting team, TPO staff",Students must carry their Identity Card and produce it when demanded by the visiting team or TPO staff.
TPO Policy,What should students do if they have contacts of different companies?,"students, contacts, companies, TPO, placements",Students should share the contacts they have with the TPO so that the TPO may formally invite these companies for placements.
TPO Policy,Is direct communication with company officials allowed?,"direct communication, company officials, not allowed, appropriate action","No, direct communication with company officials is not allowed. If any student is found to do so, appropriate action will be taken against them."
TPO Policy,What happens if a student violates this rule?,"student, violates, rule, appropriate action","If a student is found communicating directly with company officials, appropriate action will be taken against them."
TPO Policy,What should students do if they face any issues during the placement process?,"students, issues, placement process, TPO CRs",Students should approach their respective TPO CRs in case of any issues.
TPO Policy,Is it mandatory for students to participate in the placement process after applying to a company?,"mandatory, placement process, applied, company","Yes, it is mandatory for students who have applied to a company to participate in the placement process of that company."
TPO Policy,Is attendance in PPT mandatory after applying to a company?,"attendance, PPT, mandatory, applied, company, eligible","Yes, attendance in PPT is mandatory after applying to a company to be eligible for further placement processes."
TPO Policy,What happens if a student quits the placement process after PPT?,"student, quits, placement process, PPT, debarred, future placement","If a student quits the process after PPT, they will be debarred and not allowed to appear in any other future placement event."
TPO Policy,What happens if a student misbehaves during the placement process?,"misbehavior, placement process, campus debarment","Any kind of misbehavior/complaints reported by the company officials will be taken seriously, and if proven, the student will be debarred from future campus placements."
TPO Policy,What should a blacklisted student do to request removal from the blacklist?,"blacklisted student, removal, blacklist, placement committee",A blacklisted student can approach the placement committee to make a formal request for removal from the blacklist.
TPO Policy,Who has the final decision on removing a student from the blacklist?,"final decision, remove, student, blacklist, director","If the committee rejects the request, the student can approach the director, whose decision will be final and binding."
TPO Policy,What should students do if they do not plan to sit for the placement/internship process?,"students, inform, TPO, placement, internship, not plan",Students must inform the TPO as soon as possible if they do not plan to sit for the placement/internship process.
TPO Policy,"Can students withdraw from the placement process to pursue postgraduate studies? If yes, under what conditions?","students, withdraw, placement process, postgraduate studies, conditions, TPO CR",Students who have not yet secured a final offer can withdraw from the placement process to pursue postgraduate studies. They must communicate this decision to the designated TPO CR to ensure their preferences are accurately recorded.
TPO Policy,What should students do if they wish to rejoin the placement process after opting out?,"students, rejoin, placement process, opting out, TPO CR",Students who previously opted out of the placement process must notify their TPO CR to amend their preferences before applying for on-campus opportunities.
TPO Policy,What is the role of TPO CRs in the placement process?,"TPO CRs, role, placement process, queries, doubts",The role of TPO CRs is to get the queries and doubts of students cleared and to ensure the smooth process.
TPO Policy,How should students contact the TPO for queries?,"students, contact, TPO, queries, WhatsApp, TPO CR, professor-in-charge",Students should WhatsApp the concerned TPO CR or the professor-in-charge. WhatsApp is available 24x7.
TPO Policy,Is emailing the TPO Google Groups allowed? Why or why not?,"emailing, TPO Google Groups, not allowed, spam","No, emailing the TPO Google Groups is not allowed as it is considered spam."
TPO Policy,Who has the final decision in case of any discrepancy?,"final decision, discrepancy, Professor-in-Charge, Training and Placement Office, VJTI","The decision of the Professor-in-Charge, Training and Placement Office, VJTI will be final."
TPO Policy,What is the placement policy for MTech and MCA students?,"placement policy, MTech, MCA, One student, One placement offer","MTech and MCA students follow the 'One student, One placement offer' policy."
TPO Policy,What happens once an MTech or MCA student receives a full-time placement offer?,"MTech, MCA, full-time placement offer, accept, placement process","Once an MTech or MCA student receives a full-time placement offer, they must accept it and will be out of the placement process."
TPO Policy,Are MTech and MCA students eligible for both placements and internships?,"MTech, MCA, placements, internships, eligible","Students who have successfully qualified for an internship are eligible only for placements, and those who have qualified for a placement are eligible only for internships."
TPO Policy,What should candidates communicate to HR before interviews?,"candidates, communicate, HR, placements, internships, opportunities","Candidates should clearly communicate to the HR if they are interested in either placements, internships, or if they have secured both opportunities."
TPO Policy,Is categorization of companies and betterment available for MTech and MCA students?,"categorization, companies, betterment, MTech, MCA, BTech","No, categorization of companies and betterment is available only for BTech students."
TPO Policy,What happens if an MTech or MCA student secures both a placement and an internship?,"MTech, MCA, placement, internship, exempted",Students who have secured both a placement and an internship are exempted from the placement process.
TPO Policy,Can MTech and MCA students apply for betterment after securing a placement?,"MTech, MCA, betterment, placement","No, betterment is not available for MTech and MCA students."
TPO Policy,"What is the 'One student, One placement offer' policy for MTech and MCA students?","One student, One placement offer, MTech, MCA, full-time placement offer","Once an MTech or MCA student receives a full-time placement offer, they must accept it and cannot apply for any other company."
TPO Policy,Are MTech and MCA students allowed to reject a placement offer?,"MTech, MCA, reject, placement offer","No, MTech and MCA students are not allowed to reject a placement offer once it is received."
TPO Policy,What happens if an MTech or MCA student does not join the company after placement?,"MTech, MCA, join, company, placement, strict action, transcript",Strict action (including blocking of transcript) will be taken against students who do not join the company after placement.
TPO Policy,How are companies categorized for BTech students?,"companies, categorized, BTech, CTC, Normal, Dream, Super Dream","Companies are categorized into three types based on their CTC: Normal, Dream, and Super Dream."
TPO Policy,What is the CTC range for Normal category companies for CE & IT branches?,"CTC range, Normal category, CE, IT, <18 LPA",The CTC range is <18 LPA.
TPO Policy,What is the CTC range for Normal category companies for other branches?,"CTC range, Normal category, other branches",The CTC range is less than 11 LPA.
TPO Policy,What is the CTC range for Dream category companies for CE & IT branches?,"CTC range, Dream category, CE, IT, branches",The CTC range is between 18 LPA and 40 LPA.
TPO Policy,What is the CTC range for Dream category companies for other branches?,"CTC range, Dream category, other branches",The CTC range is ≥11 LPA & <40 LPA.
TPO Policy,What is the CTC range for Super Dream category companies?,"CTC range, Super Dream category, all branches",The CTC range is 40 LPA and above for all branches.
TPO Policy,What happens once a BTech student is placed in a company of a particular category?,"BTech, placed, company, category, higher categories","Once a student is placed in a company of a particular category, they can only apply for companies in higher categories."
TPO Policy,How many times can a BTech student apply for betterment?,"BTech, betterment, apply, once",A BTech student can apply for betterment only once.
TPO Policy,"What is the Betterment Gap Rule for CE, IT, and Circuital branches?","Betterment Gap Rule, CE, IT, Circuital branches, minimum gap",The minimum betterment gap is 3 LPA.
TPO Policy,When are companies requested to release their PPOs?,"companies, release, PPOs, end of August",Companies are requested to release their PPOs by the end of August.
TPO Policy,What should a student do if they wish to reject a potential PPO?,"student, reject, PPO, discuss, inform, company",The student should discuss and inform their company accordingly before the final PPO details are declared by the company to the TPO.
TPO Policy,Is a PPO considered a final placement offer?,"PPO, final placement offer","Yes, a PPO is considered a final placement offer."
TPO Policy,Can a student reject a PPO with a CTC of less than 11 LPA?,"student, reject, PPO, CTC, 11 LPA","Yes, a student can reject a PPO with a CTC of less than 11 LPA."
TPO Policy,What happens if a BTech student receives a PPO and a placement offer in the same category?,"BTech, PPO, placement offer, same category, ineligible","If a student receives a placement offer in the same category as their internship company’s PPO, they will be ineligible to accept the PPO."
TPO Policy,Can BTech students receive more than one placement offer after a PPO?,"BTech, PPO, placement offer, higher tier, limit","No, BTech students can receive only one more placement offer from a company in a higher tier after receiving a PPO."
TPO Policy,What should BTech students do if they are unsure about accepting a PPO?,"BTech, unsure, PPO, discuss, company, TPO CR",Students should discuss their concerns with the company and the TPO CR.
TPO Policy,Can MTech and MCA students reject a PPO?,"MTech, MCA, reject, PPO","No, MTech and MCA students cannot reject a PPO once it is offered."
TPO Policy,What happens if a student does not inform the company about rejecting a PPO?,"student, inform, company, reject, PPO, appropriate action",Appropriate action will be taken against the student if they do not inform the company about rejecting a PPO.
TPO Policy,Can students accept a PPO and still apply for betterment?,"students, accept, PPO, apply, betterment","No, students cannot apply for betterment after accepting a PPO."
TPO Policy,What is recorded before the placement season begins?,"record, placement season, students' preferences, participate, postgraduate studies, opt out","A record of students' preferences whether they want to participate in the placement process, pursue postgraduate studies, or completely opt out of the placement process is created."
TPO Policy,Can students pursuing postgraduate studies apply for on-campus placements?,"postgraduate studies, on-campus placements, CE, IT, Circuital branches, LPA","Yes, students pursuing postgraduate studies can apply for on-campus placements in companies offering ≤ 12 LPA for CE, IT, and Circuital branches; ≤ 10 LPA for all other branches."
TPO Policy,"What is the maximum CTC allowed for CE, IT, and Circuital branches for students pursuing higher studies?","maximum CTC, CE, IT, Circuital branches, higher studies, 12 LPA",The maximum CTC allowed is 12 LPA.
TPO Policy,What is the maximum CTC allowed for other branches for students pursuing higher studies?,"maximum CTC, other branches, higher studies, 10 LPA",The maximum CTC allowed is 10 LPA.
TPO Policy,Can students quit the on-campus placement drive to pursue postgraduate studies?,"quit, on-campus placement drive, postgraduate studies, final offer","Yes, students can quit the on-campus placement drive to pursue postgraduate studies if they have not yet received a final offer."
